us_city,state_name,county_name,us_city_lat,us_city_long,intl_city,country,flag_emoji,city_lat,city_long,continent
Punta Santiago Comunidad,Puerto Rico,Humacao,18.1617956,-65.7586597,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Shanghai,Alabama,Limestone,34.8500868,-87.0850116,Shanghai,China,🇨🇳,31.2312707,121.4700152,Asia
Harbin,Georgia,Gwinnett,33.9476075,-83.8540671,Harbin,China,🇨🇳,45.7593633,126.6276177,Asia
Shanghai City,Illinois,Warren,41.0508705,-90.4967994,Shanghai,China,🇨🇳,31.2312707,121.4700152,Asia
Shanghai,Indiana,Howard,40.4461482,-86.3283298,Shanghai,China,🇨🇳,31.2312707,121.4700152,Asia
Shanghai Corners,Michigan,Berrien,42.0333769,-86.3283517,Shanghai,China,🇨🇳,31.2312707,121.4700152,Asia
Shanghai,North Carolina,Cleveland,35.2623493,-81.6017601,Shanghai,China,🇨🇳,31.2312707,121.4700152,Asia
Shanghai,North Carolina,Sampson,34.7651702,-78.2074942,Shanghai,China,🇨🇳,31.2312707,121.4700152,Asia
Harbin Acres,South Carolina,Oconee,34.6659359,-82.8940343,Harbin,China,🇨🇳,45.7593633,126.6276177,Asia
Harbin,Tennessee,Roane,35.8703512,-84.6374383,Harbin,China,🇨🇳,45.7593633,126.6276177,Asia
Harbin,Texas,Erath,32.1168093,-98.2733756,Harbin,China,🇨🇳,45.7593633,126.6276177,Asia
Shanghai,Virginia,King and Queen,37.6081987,-76.7785721,Shanghai,China,🇨🇳,31.2312707,121.4700152,Asia
Shanghai,West Virginia,Berkeley,39.4414872,-78.1322246,Shanghai,China,🇨🇳,31.2312707,121.4700152,Asia
Shanghai,Puerto Rico,Naguabo,18.207736,-65.7446063,Shanghai,China,🇨🇳,31.2312707,121.4700152,Asia
Harbin Springs,California,Lake,38.7876817,-122.6555423,Harbin,China,🇨🇳,45.7593633,126.6276177,Asia
Harbin Springs Annex,California,Lake,38.792126,-122.6613759,Harbin,China,🇨🇳,45.7593633,126.6276177,Asia
Harbin Acres,Georgia,Clayton,33.5801105,-84.2982559,Harbin,China,🇨🇳,45.7593633,126.6276177,Asia
Bogota,Illinois,Jasper,38.9183782,-88.2400414,Bogota,Colombia,🇨🇴,4.6529539,-74.0835643,Americas
Bogota,New Jersey,Bergen,40.8762106,-74.0298621,Bogota,Colombia,🇨🇴,4.6529539,-74.0835643,Americas
Bogota,Tennessee,Dyer,36.1639584,-89.438407,Bogota,Colombia,🇨🇴,4.6529539,-74.0835643,Americas
Prague,Arkansas,Grant,34.2867635,-92.2807058,Prague,Czech Republic,🇨🇿,50.0874654,14.4212535,Europe
New Prague,Minnesota,Le Sueur,44.5432966,-93.5760652,Prague,Czech Republic,🇨🇿,50.0874654,14.4212535,Europe
Prague,Nebraska,Saunders,41.3102835,-96.8083629,Prague,Czech Republic,🇨🇿,50.0874654,14.4212535,Europe
Infant of Prague Villa,Ohio,Summit,40.9936669,-81.5203948,Prague,Czech Republic,🇨🇿,50.0874654,14.4212535,Europe
Prague,Oklahoma,Lincoln,35.4867369,-96.6850174,Prague,Czech Republic,🇨🇿,50.0874654,14.4212535,Europe
Copenhagen,Louisiana,Caldwell,32.0237703,-92.0390231,Copenhagen,Denmark,🇩🇰,55.6867243,12.5700724,Europe
Copenhagen,New York,Lewis,43.8934013,-75.6735259,Copenhagen,Denmark,🇩🇰,55.6867243,12.5700724,Europe
Copenhagen Beach,Michigan,Schoolcraft,45.9835825,-86.294311,Copenhagen,Denmark,🇩🇰,55.6867243,12.5700724,Europe
Santo Domingo,Maryland,Wicomico,38.5115047,-75.7227096,Santo Domingo,Dominican Republic,🇩🇴,18.4801972,-69.942111,Americas
Santo Domingo Pueblo,New Mexico,Sandoval,35.5147562,-106.3658588,Santo Domingo,Dominican Republic,🇩🇴,18.4801972,-69.942111,Americas
Santo Domingo,Puerto Rico,Peñuelas,18.063296,-66.7523972,Santo Domingo,Dominican Republic,🇩🇴,18.4801972,-69.942111,Americas
